Facility Code,Facility UID,State Unique ID,Registration No,Alternate Name,Start Date,Ownership,Ownership Type,Facility Level,Facility Level Option,Days of Operation,Hours of Operation,State,LGA,Ward,Physical Location,Postal Address,Longitude,Latitude,Phone Number,Alternate Number,Email Address,Website,Operational Status,Registration Status,License Status,Out Patient Services,In Patient Services,Medical Services,Surgical Services,Obsterics and Gynecology Services,Pediatrics Services,Dental Services,Specific Clinical Services,Total number of Beds,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Mortuary Services,Ambulance Services,Number of Doctors,Number of Pharmacists,Number Pharmacy Technicians,Number of Dentists,Number of Dental Technicians,Number of Nurses,Number of Midwifes,Number of Nurses/Midwifes,Number of Lab Technicians,Number of Lab Scientits,Health Records/HIM Officers,Number of Community Health Officer,Number of Community Health Extension Worker,Number of Junior Com Health Extension Worker,Number of Environmental Health Officers,Number of Health Attendant/Assistant:
04/06/1/1/1/0003,62912587,62912587,,,2019-07-28,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Amawbia III,Besides Red Cross Amawbia,,7.05778,6.19308,0813-575-9248,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Maternal and newborn care",5,,,,,No,,,,,,,,1,,,,,4,,,1
04/06/1/1/1/0004,66142456,66142456,,,2000-01-01,Public,Federal Government,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Amawbia III,,,7.05081,6.20023,,,,,Operational,Registered,Licensed,Yes,,,,,,,"Non Communicable Diseases, Communicable Diseases",,,,,,No,,,,,,,,,,,,,,,,
04/06/1/1/2/0025,20970440,20970440,,,2011-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Amawbia III,"No 2 Prime Specialist Hospital Avenue, New Friends Estate, Amavo Ngene, Amawbia",,7.056091,6.208011,0803-468-6583,0803-400-3460,primeshospitalawka@gmail.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Non Communicable Diseases, Intensive Care Services , Communicable Diseases",15,,,Yes,,No,2,,,2,,,,2,1,,,,2,,,6
04/06/1/2/2/0070,55347822,55347822,,,2016-05-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Awka South,Amawbia III,Near express Udoka housing,,7.055455,6.216768,0815-233-4444,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Health Education and Community Mobilization, Maternal and newborn care, Scanning",10,Yes,No,No,No,No,2,,1,,,,,4,1,,,,,,,3
04/06/1/2/2/0005,43584746,43584746,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Amawbia III,"No 1 onyeisi Stree, Agbovu, Amawbia",,7.030385,6.185109,0803-935-2859,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Non Communicable Diseases, Family Planning, Accidents and Emergency",6,,,,,No,2,,,1,,6,1,1,,1,,,,,,4
04/06/1/1/2/0045,84723629,84723629,,,2017-08-09,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Amawbia III,no 4 Morgbo Street Ngene Village Amawbia,,7.05787,6.20156,0806-383-3308,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Non Communicable Diseases",6,No,No,No,No,No,1,,,1,,,,,,,,,,,,4
04/06/1/1/1/0013,79829652,79829652,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",08.00am-04.,Anambra,Awka South,Awka I,Between St. Peter Catholic And St. Mary Anglican Church,,7.08593,6.21367,,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",0,,,,,No,,,,,,,,,,,,,1,,,1
04/06/1/2/2/0044,38252988,38252988,,,2018-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,"Apex Drive Way, Umeoji Street Along Secta Road, Aroma, Awka",,7.080305,6.23415,0816-023-5846,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,Accidents and Emergency,7,Yes,No,Yes,No,No,1,,,1,,5,,,,,,,,,,6
04/06/1/1/2/0002,24029361,24029361,,,2019-06-08,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,"No 10 Beacon Hospital Street, Beside Noble, Along Onitsha, Enugu Expressway, Awka",,7.0708528,6.2206791,0803-897-4084,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Accidents and Emergency, Health Education and Community Mobilization, Maternal and newborn care",,Yes,,Yes,,No,,,,,,,,,,,,,,,,
04/06/1/1/2/0003,70616346,70616346,,,2000-01-01,Private,For Profit,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,287 Nnamdi Azikiwe Avenue Awka,,7.0785729,6.221226,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Tuberculosis, Non Communicable Diseases, Communicable Diseases, Health Education and Community Mobilization",5,,,,,No,1,,,,,2,,,,,,,,,,5
04/06/1/1/2/0004,80281960,80281960,,,2015-01-06,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,"Bisi Anigbogu Street Off Amenyi Market , Amaenyi, Awka",,7.088073731,6.11730957,0803-791-4084,0812-275-9181,onalukanayo@yahoo.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",8,Yes,,Yes,,No,2,,1,2,,,,1,1,,,,1,2,,6
04/06/1/1/1/0039,74583907,74583907,,,2019-08-08,Public,State Government,Tertiary,Teaching Hospital,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,Besides Central Medical Store Awka Near Aroma Junction,,7.0794316,6.22348,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",136,No,No,No,No,No,60,40,34,7,20,7,10,70,17,23,20,7,5,7,7,56
04/06/1/1/2/0010,74346719,74346719,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,Ifite road Awka,,7.08816,6.23493,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Non Communicable Diseases, Communicable Diseases, Maternal and newborn care",4,,,,,No,1,,,1,,,,,,,,,,,,4
04/17/1/1/2/0032,12970142,12970142,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,"Izunna Street, Off Ifite Road, Ifite Awka",,7.144897461,6.252685547,0806-114-6822,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",9,,,,,No,,,,,,,2,,,,,,,3,,5
04/06/1/1/2/0021,34068055,34068055,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,"Off Amaenyi Market, Amaenyi, Awka",,7.0898091,6.2243553,0806-881-7203,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",6,,,,,No,,,,,,,,1,,,,,,,,5
04/06/1/2/2/0003,33997196,33997196,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,No 25 Emma Nnaemeka Str Awka,,7.068771,6.220504,0803-573-9634,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Non Communicable Diseases, Communicable Diseases, Accidents and Emergency, Health Education and Community Mobilization, Maternal and newborn care",5,,,,,No,1,,,,,,,3,,,,,,,,4
04/06/1/2/2/0004,69721499,69721499,,,2016-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka II,Near King David Hotel Awka,,7.07401,6.22338,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Intensive Care Services , Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",54,Yes,,Yes,Yes,No,10,4,3,10,,2,2,20,4,2,5,2,4,3,,23
04/06/1/2/2/0074,84313921,84313921,,,2016-08-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Awka South,Awka II,"2 umudioka Drive, opp Meloch Hotel Enu Ifite Awka",,7.0882015,6.238055,0812-147-2188,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Maternal and newborn care",16,Yes,No,No,No,No,3,,,,,2,3,3,,,2,,1,,,2
04/06/1/1/1/0026,83567704,83567704,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",08.00am-06.,Anambra,Awka South,Awka II,Opposite St. Patrick Cathedral Awka,,7.077755,6.2184533,0706-071-1040,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",1,,,,,No,,,,,,,,,,,,,1,,,1
04/06/1/2/2/0042,23603887,23603887,,,2019-04-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka III,No 17A Ezeudu Street Umudioka Awka,,7.07169,6.21516,0818-145-6000,,,,Operational,Registered,Licensed,,,,,,,,Family Planning,3,Yes,No,No,No,No,2,,,2,,,,,,,1,,,,,2
04/06/1/2/2/0002,74449660,74449660,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka III,"16a Igwebuike School Road, Awka, Anambra State",,7.069873,6.213159,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases, Health Education and Community Mobilization, Maternal and newborn care",,,,,,No,,,,,,,,,,,,,,,,
04/05/1/1/2/0008,75903831,75903831,,,2000-01-01,Private,For Profit,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka III,"5 Ikechukwu Maternity Avenue, Off lkoro House, Umudioka Village, Awka",,7.13597,6.25822,08136420547,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",7,,,,,No,,,,,,,,2,,,,,,,,3
04/06/1/2/2/0043,78975565,78975565,,,2018-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka III,Old Nanet Ichide Street Umudioka,,7.07553,6.21352,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Tuberculosis, Non Communicable Diseases, Communicable Diseases",5,No,No,No,No,No,1,,,1,,,,,,,,,,,,4
04/06/1/1/1/0023,85770816,85770816,,,2019-01-04,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka III,Akogheli square Ichide Str Awka,,7.072211,6.214933,0813-906-2363,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",3,,,,,No,,,,,,,,1,,,,,1,,,1
04/06/1/1/2/0009,61182316,61182316,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka IV,"No 30 Onwurah Street, Awka",,7.065294,6.218038,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases",19,,,,,No,,,,,,,,,,,,,,,,
04/06/1/1/2/0001,58679092,58679092,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka IV,"5 Orogbu Street, Behind Niport Hq, Umuogbunu, Awka",,7.071814,6.212871,0806-643-8739,0813-343-5087,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Communicable Diseases",19,,,,,No,2,,,2,,,,2,1,,,,,,,3
04/06/1/1/2/0017,82606592,82606592,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka IV,"96 Arthur Eze Avenue, Awka",,7.06718,6.2192,0806-413-7680,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"HIV/ AIDS Services, Non Communicable Diseases",3,,,,,No,1,,,1,,,,1,,,,,,,,2
04/06/1/2/2/0078,84767870,84767870,,,2001-10-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Awka South,Awka IV,"6 Pacesetters Lane, beside Assemblies of God Amikwo Awka",,7.072083,6.218668,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",15,Yes,No,Yes,No,No,2,,1,,,3,2,2,1,,2,,1,,,4
04/06/1/1/1/0039,52061723,52061723,,,2003-01-09,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka IV,34 Onwurah Street Awka,P.O Box 1949 Awka,7.063408,6.218013,0803-714-4615,0818-069-6513,chukwudinjelita@yahoo.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases, Child Survival, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",33,Yes,No,Yes,No,No,4,,,4,,,,2,4,,2,,,,,12
04/05/1/1/1/0036,40832974,40832974,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",08.00am-06.,Anambra,Awka South,Awka IV,Umuogbunu Awka hall Opposite EEDC Awka Zik Avenue.,,7.071516,6.209623,0806-373-9292,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, Family Planning, Nutrition, Health Education and Community Mobilization",0,,,,,No,,,,,,,,,,,,,2,,,
04/06/1/1/1/0002,82756661,82756661,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",08.00am-06.,Anambra,Awka South,Awka V,"Umuike Village Square, (Obodoezi)",,7.07333,6.19854,0806-469-4133,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",,,,,,No,,,,,,,,,,,,,2,,,1
04/06/1/1/2/0023,72366890,72366890,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka V,"No 7umuogbu Village, Awka",,7.082642,6.221473,0706-659-7730,,flora4u@22.gmail.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,,,,,No,,,,,,,,2,,,,,,,,7
04/06/1/2/2/0040,17562960,17562960,,,1998-04-09,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka V,4B St Faith Road Awka,,7.06944,6.20506,0803-375-1669,,drafunugo@yahoo.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"HIV/ AIDS Services, Tuberculosis, Family Planning, Accidents and Emergency, Health Education and Community Mobilization",5,Yes,No,No,No,No,1,,,1,,1,,,,1,2,,6,,,
04/07/1/1/1/0001,76182134,76182134,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",08.00am-06.,Anambra,Awka South,Awka VI,"Near Trinity Hospital, Awka",,6.970703125,6.502075195,,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Communicable Diseases, Nutrition, Health Education and Community Mobilization",,,,,,No,,,,,,,,,,,,,1,,,
04/06/1/2/2/0056,79170112,79170112,,,2007-04-07,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,"Road 4, House 3, Udoka Housing Estate, Awka.",,7.05767,6.21545,0803-673-2322,0805-566-7374,ericanazodo@yahoo.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"HIV/ AIDS Services, Tuberculosis, Family Planning, Accidents and Emergency, Maternal and newborn care",12,No,No,No,No,No,2,,,2,,3,,2,1,1,,,,2,,3
04/06/1/1/2/0011,23093496,23093496,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,"20 Enweana Street, Off Chief O. O. Igweze Avenue, Behind Cai, Awka, Anambra State",,7.06142,6.21443,,,,,Operational,Registered,Licensed,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
04/06/1/1/2/0012,27634370,27634370,,,2003-03-12,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,"10 Ken Okoli Street, Off Works Road, Amikwo, Awka.",,7.060882,6.203143,0803-581-5685,08068820756,awaluchimezie@gmail.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",50,,,,,No,5,,,5,,34,2,2,1,1,4,2,2,3,,2
04/06/1/2/2/0052,51474375,51474375,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,"29 Court Road,Opposite CPS Awka",,7.0664,6.20916,0802-985-2293,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Health Education and Community Mobilization",7,No,No,No,No,No,1,,,1,,,1,,,1,,1,,1,,3
04/06/1/2/2/0061,77994234,77994234,,,1999-01-02,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,Umokpu Villa Road,,7.03666,6.19441,0803-472-7674,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Family Planning, Hepatitis, Accidents and Emergency",5,No,No,No,No,No,1,,,1,,,,3,,,,,,1,,2
04/06/1/2/2/0054,17579461,17579461,,,2018-02-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,"Road 9, House 1 Udoka Housing Estate Awka",,7.05596,6.21411,0803-509-112_,0908-136-0515,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Intensive Care Services , Maternal and newborn care",3,No,No,No,No,No,2,,,,,,,,,,,,1,,,1
04/06/1/2/1/0004,37504319,37504319,,,2019-01-04,Public,Federal Government,Secondary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday",24hrs,Anambra,Awka South,Awka VI,"Inside Cps, Along Court Road, Awka",,7.0648919,6.2119069,0805-664-9845,,,,Operational,Registered,Licensed,Yes,,,,,,,"Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",,,,,,No,,,,,,,,,,,,,,,,
04/06/1/2/2/0046,47878281,47878281,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,Plpt 3 Obiora Lane Beside Min of Works Awka,,7.06363,6.20411,0806-294-6030,,buzom4christ@yahoo.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,,2,No,No,No,No,No,1,,,,,,,,,,,,1,,,1
04/06/1/2/2/0055,37313223,37313223,,,2019-01-06,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,No 7 Christ Close(opp CPS),,7.06407,6.21126,0803-400-5584,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Non Communicable Diseases, Communicable Diseases, Accidents and Emergency",2,No,No,No,No,No,2,1,,,,6,,,,1,,,,,,
04/06/1/3/2/0071,71138843,71138843,,,2017-04-02,Private,For Profit,Secondary,Specialized Hospital,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Awka South,Awka VI,AfterImmigration Awka,,7.112007,6.23555,0803-487-4801,,,,Operational,Registered,Licensed,Yes,,,,,,,Accidents and Emergency,10,No,No,Yes,No,No,2,,1,2,,,,4,1,,1,,,,,3
04/06/1/1/2/0031,40726907,40726907,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,Near Eke Awka Market,,7.065934,6.210662,0803-668-8050,,chinenyemena@gmail.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases",7,,,,,No,1,,,,,,,4,2,,,,2,,,8
04/06/1/2/2/0041,24718513,24718513,,,2014-03-03,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,No 1 Isiagu Amikwo Road Awka,,7.06547,6.20624,0806-075-2305,,drifeanyiwilsononyeka@gmail.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Non Communicable Diseases, Communicable Diseases, Accidents and Emergency",8,No,Yes,No,No,No,2,,,2,,,,,,,,,1,,,1
04/06/1/2/2/0072,18019242,18019242,,,2012-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Awka South,Awka VI,"Along express road, behind olivia Montage Hotel",,7.101223,6.231132,0803-117-378_,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Nutrition, Health Education and Community Mobilization, Maternal and newborn care, Scanning",10,No,No,No,No,No,2,,,,,5,,,1,,1,,2,,,3
04/06/1/2/2/0006,63796591,63796591,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VI,50b Amikwo Road,,7.067555,6.205059,0803-744-8549,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases, Health Education and Community Mobilization, Maternal and newborn care",13,,,,,No,,,,,,,,,,,,,,,,
04/06/1/2/2/0059,31547522,31547522,,,2018-01-06,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Awka South,Awka VII,Near Finnotel Hotel Awka,,7.105725,6.288108,0703-661-5974,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Family Planning, Intensive Care Services ",32,No,No,Yes,No,No,9,11,0,1,1,5,1,10,0,2,0,0,0,0,0,0
04/06/1/1/1/0018,54179734,54179734,,,2001-06-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Awka South,Awka VII,near Umuokpu Market by old onitsha road,,7.03269,6.19449,0813-821-6685,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,,,,,No,,,,,,,,1,,,,,2,,,3
04/06/1/2/2/0079,15176350,15176350,,,2003-05-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Awka South,Awka VII,"Ifite Awka, after high tension",,7.084362,6.243674,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",15,Yes,No,Yes,No,No,2,,1,,,,,4,2,,2,,3,,,6
